id,bc2,bc1,sample,did
AA/428,105,45,run1_1d,041119
NA18486,97,01,run1_1d,041119
NA18487,98,01,run1_1d,041119
NA18488,105,01,run1_1d,041119
NA18489,106,01,run1_1d,041119
NA18498,101,01,run1_1d,041119
NA18499,102,01,run1_1d,041119
NA18501,103,01,run1_1d,041119
NA18502,104,01,run1_1d,041119
NA18504,97,02,run1_1d,041119
NA18505,98,02,run1_1d,041119
NA18507,105,02,run1_1d,041119
NA18508,106,02,run1_1d,041119
NA18510,101,02,run1_1d,041119
NA18511,102,02,run1_1d,041119
NA18516,103,02,run1_1d,041119
NA18517,104,02,run1_1d,041119
NA18519,97,03,run1_1d,041119
NA18520,98,03,run1_1d,041119
NA18522,105,03,run1_1d,041119
NA18523,106,03,run1_1d,041119
NA18852,101,03,run1_1d,041119
NA18853,102,03,run1_1d,041119
NA18855,103,03,run1_1d,041119
NA18856,104,03,run1_1d,041119
NA18858,97,04,run1_1d,041119
NA18859,98,04,run1_1d,041119
NA18861,105,04,run1_1d,041119
NA18862,106,04,run1_1d,041119
NA18867,101,04,run1_1d,041119
NA18868,102,04,run1_1d,041119
NA18870,103,04,run1_1d,041119
NA18871,104,04,run1_1d,041119
NA18873,97,05,run1_1d,041119
NA18874,98,05,run1_1d,041119
NA18877,105,05,run1_1d,041119
NA18881,106,05,run1_1d,041119
NA18907,101,05,run1_1d,041119
NA18908,102,05,run1_1d,041119
NA18909,103,05,run1_1d,041119
NA18910,104,05,run1_1d,041119
NA18912,97,06,run1_1d,041119
NA18913,98,06,run1_1d,041119
NA18915,105,06,run1_1d,041119
NA18916,106,06,run1_1d,041119
NA18917,101,06,run1_1d,041119
NA18923,102,06,run1_1d,041119
NA18924,103,06,run1_1d,041119
NA18933,104,06,run1_1d,041119
NA18934,97,07,run1_1d,041119
NA19017,97,16,run1_1d,041119
NA19019,98,16,run1_1d,041119
NA19020,105,16,run1_1d,041119
NA19022,106,16,run1_1d,041119
NA19023,101,16,run1_1d,041119
NA19024,102,16,run1_1d,041119
NA19025,103,16,run1_1d,041119
NA19026,104,16,run1_1d,041119
NA19027,97,17,run1_1d,041119
NA19028,98,17,run1_1d,041119
NA19030,105,17,run1_1d,041119
NA19031,106,17,run1_1d,041119
NA19035,101,17,run1_1d,041119
NA19036,102,17,run1_1d,041119
NA19037,103,17,run1_1d,041119
NA19038,104,17,run1_1d,041119
NA19039,97,18,run1_1d,041119
NA19041,98,18,run1_1d,041119
NA19043,105,18,run1_1d,041119
NA19044,106,18,run1_1d,041119
NA19045,101,18,run1_1d,041119
NA19046,102,18,run1_1d,041119
NA19092,98,07,run1_1d,041119
NA19093,105,07,run1_1d,041119
NA19095,106,07,run1_1d,041119
NA19096,101,07,run1_1d,041119
NA19098,102,07,run1_1d,041119
NA19099,103,07,run1_1d,041119
NA19101,104,07,run1_1d,041119
NA19102,97,08,run1_1d,041119
NA19105,98,08,run1_1d,041119
NA19107,105,08,run1_1d,041119
NA19108,106,08,run1_1d,041119
NA19113,101,08,run1_1d,041119
NA19114,102,08,run1_1d,041119
NA19116,103,08,run1_1d,041119
NA19117,104,08,run1_1d,041119
NA19118,97,09,run1_1d,041119
NA19119,98,09,run1_1d,041119
NA19121,105,09,run1_1d,041119
NA19122,106,09,run1_1d,041119
NA19127,101,09,run1_1d,041119
NA19128,102,09,run1_1d,041119
NA19129,103,09,run1_1d,041119
NA19130,104,09,run1_1d,041119
NA19131,97,10,run1_1d,041119
NA19137,98,10,run1_1d,041119
NA19138,105,10,run1_1d,041119
NA19140,106,10,run1_1d,041119
NA19141,101,10,run1_1d,041119
NA19143,102,10,run1_1d,041119
NA19144,103,10,run1_1d,041119
NA19146,104,10,run1_1d,041119
NA19147,97,11,run1_1d,041119
NA19149,98,11,run1_1d,041119
NA19150,105,11,run1_1d,041119
NA19152,106,11,run1_1d,041119
NA19153,101,11,run1_1d,041119
